"","id","zona"
"1104",208,"Caracole 4"
"1105",208,"Caracole 4"
"1106",208,"Caracole 4"
"1107",208,"Caracole 4"
"1108",208,"Caracole 4"
"1109",208,"Caracole 4"
"1110",208,"Caracole 2"
"1111",208,"Caracole 4"
"1112",208,"Caracole 9"
"1113",208,"Caracole 9"
"1114",208,"Caracole 2"
"1115",208,"Caracole 9"
"1116",208,"Caracole 9"
"1117",208,"Caracole 5"
"1118",208,"Caracole 4"
"1119",208,"Caracole 4"
"1120",208,"Caracole 2"
"1121",208,"Caracole 4"
"1122",208,"Caracole 6"
"1123",208,"Caracole 4"
"1124",208,"Caracole 10"
"1125",208,"Caracole 11"
"1126",208,"Caracole 10"
"1127",208,"Caracole 10"
"1128",208,"Caracole 11"
"1129",208,"Caracole 11"
"1130",208,"Caracole 11"
"1131",208,"Caracole 11"
"1132",208,"Caracole 11"
"1133",208,"Caracole 11"
"1134",208,"Caracole 10"
"1135",208,"Caracole 11"
"1136",208,"Caracole 10"
"1137",208,"Caracole 10"
"1138",208,"Caracole 10"
"1139",208,"Caracole 11"
"1140",208,"Caracole 10"
"1141",208,"Fendi Home 1"
"1142",208,"Fendi Home 1"
"1143",208,"Fendi Home 1"
"1144",208,"Fendi Home 1"
"1145",208,"Fendi Home 2"
"1146",208,"Fendi Home 1"
"1147",208,"Fendi Home 1"
"1148",208,"Fendi Home 1"
"1149",208,"Fendi Home 1"
"1151",208,"Van Thiel 2"
"1152",209,"Benhardt 4"
"1153",209,"Caracole 2"
"1154",209,"Caracole 8"
"1155",211,"Caracole 1"
"1160",211,"Fendi Home 4"
"1161",211,"Textile & Bedding 4"
"1162",214,"Benhardt 6"
"1163",214,"Caracole 1"
"1164",214,"Caracole 12"
"1165",214,"Van Thiel 3"
"1166",215,"Caracole 6"
"1167",216,"Caracole 10"
"1169",218,"Caracole 1"
"1170",221,"Fendi Home 1"
"1171",222,"Benhardt 4"
"1172",222,"Benhardt 2"
"1173",222,"Benhardt 6"
"1174",222,"Benhardt 4"
"1175",222,"Benhardt 6"
"1176",222,"Benhardt 6"
"1177",222,"Benhardt 6"
"1178",222,"Caracole 9"
"1179",222,"Caracole 2"
"1180",222,"Caracole 1"
"1181",222,"Caracole 3"
"1182",222,"Caracole 2"
"1183",222,"Caracole 3"
"1184",222,"Caracole 9"
"1185",222,"Caracole 9"
"1186",222,"Caracole 5"
"1187",222,"Caracole 6"
"1188",222,"Caracole 2"
"1189",222,"Caracole 2"
"1190",222,"Caracole 6"
"1191",222,"Caracole 5"
"1192",222,"Caracole 4"
"1193",222,"Caracole 4"
"1194",222,"Caracole 4"
"1195",222,"Caracole 12"
"1196",222,"Caracole 11"
"1197",222,"Caracole 12"
